bairro,event_count,event_share,cumulative_share,selected
JANGURURSSU,157,0.05056360708534621,0.05056360708534621,True
BARRA DO CEARA,135,0.043478260869565216,0.09404186795491143,True
MESSEJANA,116,0.03735909822866344,0.13140096618357489,True
GRANJA LISBOA,104,0.03349436392914654,0.16489533011272142,True
PLANALTO AYRTON SENNA,95,0.030595813204508857,0.19549114331723028,True
PREFEITO JOSE WALTER,92,0.02962962962962963,0.2251207729468599,True
MONDUBIM,90,0.028985507246376812,0.2541062801932367,True
SIQUEIRA,78,0.025120772946859903,0.2792270531400966,True
BARROSO,72,0.02318840579710145,0.30241545893719807,True
QUINTINO CUNHA,67,0.021578099838969404,0.3239935587761675,True
PASSARE,65,0.020933977455716585,0.34492753623188405,True
CIRSTO REDENTOR,58,0.01867954911433172,0.3636070853462158,True
GRANJA PORTUGAL,57,0.018357487922705314,0.3819645732689211,True
VICENTE PINZON,57,0.018357487922705314,0.4003220611916264,True
LAGOA REDONDA,55,0.017713365539452495,0.4180354267310789,True
PICI,54,0.017391304347826087,0.435426731078905,True
BOM JARDIM,50,0.01610305958132045,0.45152979066022547,True
JARDIM DAS OLIVEIRAS,50,0.01610305958132045,0.46763285024154594,True
BONSUCESSO,48,0.015458937198067632,0.48309178743961356,True
CARLITO PAMPLONA,48,0.015458937198067632,0.4985507246376812,True
CONJUNTO PALMEIRAS,47,0.015136876006441223,0.5136876006441224,True
CANINDEZINHO,45,0.014492753623188406,0.5281803542673108,True
JOSE DE ALENCAR,44,0.014170692431561997,0.5423510466988728,True
MANOEL SATIRO,43,0.013848631239935587,0.5561996779388084,True
PRAIA DO FURUTO II,43,0.013848631239935587,0.570048309178744,True
VILA VELHA,43,0.013848631239935587,0.5838969404186797,True
ANTONIO BEZERRA,40,0.01288244766505636,0.596779388083736,True
CENTRO,40,0.01288244766505636,0.6096618357487923,True
EDSON QUEIROZ,40,0.01288244766505636,0.6225442834138486,True
PAUPINA,40,0.01288244766505636,0.6354267310789049,True
CAJAZEIRAS,35,0.011272141706924315,0.6466988727858293,True
SAPIRANGA COITE,35,0.011272141706924315,0.6579710144927536,True
PARQUE DOIS IRMAOS,33,0.010628019323671498,0.6685990338164252,True
PIRAMBU,32,0.010305958132045089,0.6789049919484702,True
ANCURI,31,0.00998389694041868,0.6888888888888889,True
JACARECANGA,31,0.00998389694041868,0.6988727858293076,True
VILA PERY,30,0.00966183574879227,0.7085346215780999,True
ALVARO WEYNE,28,0.009017713365539453,0.7175523349436393,True
PAPICU,27,0.008695652173913044,0.7262479871175523,True
CURIO,26,0.008373590982286634,0.734621578099839,True
FLORESTA,26,0.008373590982286634,0.7429951690821256,True
PEDRAS,26,0.008373590982286634,0.7513687600644122,True
CIDADE DOS FUNCIONARIOS,24,0.007729468599033816,0.759098228663446,True
AEROLANDIA,23,0.007407407407407408,0.7665056360708534,True
CAIS DO PORTO,23,0.007407407407407408,0.7739130434782608,True
SERRINHA,23,0.007407407407407408,0.7813204508856683,True
BOA VISTA,22,0.007085346215780998,0.7884057971014493,True
GENIBAU,22,0.007085346215780998,0.7954911433172304,True
PADRE ANDRADE,22,0.007085346215780998,0.8025764895330114,True
PARQUE SAO JOSE,22,0.007085346215780998,0.8096618357487925,True
JARDIM IRACEMA,20,0.00644122383252818,0.8161030595813207,True
PRESIDENTE KENNEDY,20,0.00644122383252818,0.8225442834138489,True
HENRIQUE JORGE,18,0.005797101449275362,0.8283413848631243,True
GUAJERU,17,0.005475040257648953,0.8338164251207733,True
SAO BENTO,17,0.005475040257648953,0.8392914653784223,True
SAO JOAO DO TAUAPE,16,0.0051529790660225444,0.8444444444444448,True
PARANGABA,15,0.004830917874396135,0.8492753623188409,True
AEROPORTO,14,0.0045088566827697265,0.8537842190016106,True
CONJUNTO ESPERANCA,14,0.0045088566827697265,0.8582930756843803,True
MANUEL DIAS BRANCO,14,0.0045088566827697265,0.86280193236715,True
MARAPONGA,14,0.0045088566827697265,0.8673107890499197,True
ALDEOTA,13,0.004186795491143317,0.871497584541063,True
DOM LUSTOSA,13,0.004186795491143317,0.8756843800322063,True
AUTRAN NUNES,12,0.003864734299516908,0.8795491143317232,True
COACU,12,0.003864734299516908,0.8834138486312402,True
CONJUNTO CEARA II,12,0.003864734299516908,0.8872785829307571,True
FATIMA,12,0.003864734299516908,0.8911433172302741,True
JOQUEI CLUBE,12,0.003864734299516908,0.895008051529791,True
PARQUE PRESIDENTE VARGAS,12,0.003864734299516908,0.898872785829308,True
ALTO DA BALANCA,11,0.003542673107890499,0.9024154589371984,True
CONJUNTO CEARA I,11,0.003542673107890499,0.9059581320450889,True
ENGENHEIRO LUCIANO CAVALCANTE,11,0.003542673107890499,0.9095008051529794,True
FARIAS BRITO,11,0.003542673107890499,0.9130434782608698,True
ITAPERI,11,0.003542673107890499,0.9165861513687603,True
PARQUE IRACEMA,11,0.003542673107890499,0.9201288244766508,True
CAMBEBA,10,0.00322061191626409,0.9233494363929149,True
CASTELAO,10,0.00322061191626409,0.926570048309179,True
JOAO XXIII,10,0.00322061191626409,0.9297906602254431,True
JOAQUIM TAVORA,10,0.00322061191626409,0.9330112721417072,True
MOURA BRASIL,10,0.00322061191626409,0.9362318840579713,True
DIAS MACEDO,9,0.002898550724637681,0.9391304347826089,True
JOSE BONIFACIO,9,0.002898550724637681,0.9420289855072466,True
DEMOCRITO ROCHA,8,0.0025764895330112722,0.9446054750402578,True
ITAOCA,8,0.0025764895330112722,0.9471819645732691,True
JARDIM GUANABARA,8,0.0025764895330112722,0.9497584541062803,True
MONTESE,8,0.0025764895330112722,0.9523349436392916,True
PARQUE SANTA ROSA,8,0.0025764895330112722,0.9549114331723029,False
PRAIA DO FUTURO I,8,0.0025764895330112722,0.9574879227053141,False
VILA UNIAO,8,0.0025764895330112722,0.9600644122383254,False
AMADEU FURTADO,7,0.0022544283413848632,0.9623188405797103,False
BELA VISTA,7,0.0022544283413848632,0.9645732689210952,False
BENFICA,7,0.0022544283413848632,0.9668276972624801,False
COUTO FERNANDES,7,0.0022544283413848632,0.969082125603865,False
DENDE,7,0.0022544283413848632,0.9713365539452499,False
MEIRELES,7,0.0022544283413848632,0.9735909822866348,False
