bairro,model,train_rows,test_rows,mse,mae,status
AEROLANDIA,poisson,207,24,0.07870531079759045,0.14833860809536298,evaluated
AEROPORTO,poisson,207,24,0.003264518472414147,0.0569379039647784,evaluated
ALDEOTA,poisson,207,24,0.03994054129085518,0.10136983411012869,evaluated
ALTO DA BALANCA,poisson,207,24,0.0056250325657525415,0.07346300388905795,evaluated
ALVARO WEYNE,poisson,207,24,0.19017984418501988,0.1917155912086552,evaluated
ANCURI,poisson,207,24,0.055056894134623204,0.18967627716075197,evaluated
ANTONIO BEZERRA,poisson,207,24,0.04505807509642715,0.1308923274215202,evaluated
AUTRAN NUNES,poisson,207,24,0.001275058504459329,0.03486197031554183,evaluated
BARRA DO CEARA,poisson,207,24,0.3607717265190587,0.5919885936375642,evaluated
BARROSO,poisson,207,24,0.20820175818510908,0.42346938809406826,evaluated
BOA VISTA,poisson,207,24,0.04634395386462714,0.1529524923550992,evaluated
BOM JARDIM,poisson,207,24,0.06909944797963087,0.23440653166350303,evaluated
BONSUCESSO,poisson,207,24,0.12369083358629751,0.3018939721352661,evaluated
CAIS DO PORTO,poisson,207,24,0.012742288281596853,0.11275054085606324,evaluated
CAJAZEIRAS,poisson,207,24,0.24611653578351447,0.3312334718548313,evaluated
CAMBEBA,poisson,207,24,0.07742194375588604,0.12068839355267424,evaluated
CANINDEZINHO,poisson,207,24,0.0830190589444246,0.22441508034104585,evaluated
CARLITO PAMPLONA,poisson,207,24,0.05989269742907929,0.20624291366536482,evaluated
CASTELAO,poisson,207,24,0.0025861005582873665,0.050829572969304536,evaluated
CENTRO,poisson,207,24,0.1401167836912959,0.2738580395401696,evaluated
CIDADE DOS FUNCIONARIOS,poisson,207,24,0.03157590253433596,0.17159528725974094,evaluated
CIRSTO REDENTOR,poisson,207,24,0.08478168334476803,0.2908873022482742,evaluated
COACU,poisson,207,24,0.002035156467205431,0.04478037815124894,evaluated
CONJUNTO CEARA I,poisson,207,24,0.000803140058978406,0.02729770964075044,evaluated
CONJUNTO CEARA II,poisson,207,24,0.005874553871267288,0.07573249508822688,evaluated
CONJUNTO ESPERANCA,poisson,207,24,0.0030070583598584186,0.05457779437137755,evaluated
CONJUNTO PALMEIRAS,poisson,207,24,0.04745931073942657,0.21775983664554413,evaluated
CURIO,poisson,207,24,0.14255509185843288,0.24425924850646918,evaluated
DEMOCRITO ROCHA,poisson,207,24,0.040206120131113694,0.08105641580953772,evaluated
DIAS MACEDO,poisson,207,24,0.004673925248513184,0.0657776879317974,evaluated
DOM LUSTOSA,poisson,207,24,0.040299268556607266,0.09929523768463629,evaluated
EDSON QUEIROZ,poisson,207,24,0.02216580642082247,0.14803401624427415,evaluated
ENGENHEIRO LUCIANO CAVALCANTE,poisson,207,24,0.040153729351025944,0.08841544331685204,evaluated
FARIAS BRITO,poisson,207,24,0.04017436431515863,0.0950721471807453,evaluated
FATIMA,poisson,207,24,0.005382748318644523,0.07271867376312967,evaluated
FLORESTA,poisson,207,24,0.04610347775878052,0.15399855841817411,evaluated
GENIBAU,poisson,207,24,0.013355148177841294,0.1154558440207663,evaluated
GRANJA LISBOA,poisson,207,24,0.20547335478016196,0.4505578207122894,evaluated
GRANJA PORTUGAL,poisson,207,24,0.12004306202372338,0.3253481602189464,evaluated
GUAJERU,poisson,207,24,0.043987174561027576,0.13826814923436961,evaluated
HENRIQUE JORGE,poisson,207,24,0.010981120202931792,0.10428680675387568,evaluated
ITAOCA,poisson,207,24,0.003726444603455526,0.05872579736297993,evaluated
ITAPERI,poisson,207,24,0.04179569056049986,0.10710716204638904,evaluated
JACARECANGA,poisson,207,24,0.050512638661255445,0.17336617162529386,evaluated
JANGURURSSU,poisson,207,24,0.49846933383487607,0.6776902814892803,evaluated
JARDIM DAS OLIVEIRAS,poisson,207,24,0.05714445429848128,0.23891344772125486,evaluated
JARDIM GUANABARA,poisson,207,24,0.0008332783281940889,0.02859150631816997,evaluated
JARDIM IRACEMA,poisson,207,24,0.006935670359531974,0.08312352695877268,evaluated
JOAO XXIII,poisson,207,24,0.03975483529123725,0.06563649074029788,evaluated
JOAQUIM TAVORA,poisson,207,24,0.001378604717577413,0.03682528615777709,evaluated
JOQUEI CLUBE,poisson,207,24,0.0036729713707363207,0.0605866802805299,evaluated
JOSE BONIFACIO,poisson,207,24,0.00251828945310249,0.05003586206544817,evaluated
JOSE DE ALENCAR,poisson,207,24,0.32675175329109013,0.4062215046450617,evaluated
LAGOA REDONDA,poisson,207,24,0.48597810624908916,0.42221845562296867,evaluated
MANOEL SATIRO,poisson,207,24,0.02258248293156531,0.14904312734584238,evaluated
MANUEL DIAS BRANCO,poisson,207,24,0.005828778228050759,0.07616866171281023,evaluated
MARAPONGA,poisson,207,24,0.004188054896154814,0.06468486689329823,evaluated
MESSEJANA,poisson,207,24,0.5983996842174877,0.6422720402675056,evaluated
MONDUBIM,poisson,207,24,0.13882000686014445,0.3562450857372403,evaluated
MONTESE,poisson,207,24,0.0019238141137229638,0.04374281855059305,evaluated
MOURA BRASIL,poisson,207,24,0.005020279783517073,0.06761849597164503,evaluated
PADRE ANDRADE,poisson,207,24,0.014893583011773117,0.12171013596653317,evaluated
PAPICU,poisson,207,24,0.043279839282762994,0.1308194526336094,evaluated
PARANGABA,poisson,207,24,0.006383733364211503,0.07980363171646247,evaluated
PARQUE DOIS IRMAOS,poisson,207,24,0.11184912795692971,0.24817110954589072,evaluated
PARQUE IRACEMA,poisson,207,24,0.003472648860471206,0.05883296115364031,evaluated
PARQUE PRESIDENTE VARGAS,poisson,207,24,0.0027841736387828626,0.05269210225261698,evaluated
PARQUE SAO JOSE,poisson,207,24,0.014658455828203269,0.12075810123794622,evaluated
PASSARE,poisson,207,24,0.15601597031613637,0.3856426534460528,evaluated
PAUPINA,poisson,207,24,0.028173889622946535,0.1674831590777809,evaluated
PEDRAS,poisson,207,24,0.05274000163935041,0.18600160404555857,evaluated
PICI,poisson,207,24,0.039473740556776465,0.19718401497025229,evaluated
PIRAMBU,poisson,207,24,0.03668078096644683,0.1897165666505689,evaluated
PLANALTO AYRTON SENNA,poisson,207,24,0.27445243250422213,0.4645254943251151,evaluated
PRAIA DO FURUTO II,poisson,207,24,0.09208390953575046,0.25293822025874363,evaluated
PREFEITO JOSE WALTER,poisson,207,24,0.14290181887277575,0.3629454952152344,evaluated
PRESIDENTE KENNEDY,poisson,207,24,0.012712243979029293,0.11236603867965501,evaluated
QUINTINO CUNHA,poisson,207,24,0.2376811133788798,0.3962495001426431,evaluated
SAO BENTO,poisson,207,24,0.040641466461867316,0.11518440897957449,evaluated
SAO JOAO DO TAUAPE,poisson,207,24,0.008730822217647023,0.09285842006870755,evaluated
SAPIRANGA COITE,poisson,207,24,0.06101039648892861,0.20835913767195172,evaluated
SERRINHA,poisson,207,24,0.010901354494788884,0.10437078589517597,evaluated
SIQUEIRA,poisson,207,24,0.12561986444155634,0.3488555808454703,evaluated
VICENTE PINZON,poisson,207,24,0.07069987730982442,0.23752174360428047,evaluated
VILA PERY,poisson,207,24,0.03883916772107969,0.19500035109661537,evaluated
VILA VELHA,poisson,207,24,0.07326695937610946,0.24723665448967722,evaluated
