semana,bairro,crimes,lag_1,lag_2,lag_3,media_movel_4,tendencia_1,semana_ano,mes
2022-01-17,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,3,1
2022-01-24,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,4,1
2022-01-31,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,5,1
2022-02-07,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,6,2
2022-02-14,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,7,2
2022-02-21,AEROLANDIA,1,0.0,0.0,0.0,0.0,0.0,8,2
2022-02-28,AEROLANDIA,0,1.0,0.0,0.0,0.25,1.0,9,2
2022-03-07,AEROLANDIA,0,0.0,1.0,0.0,0.25,-1.0,10,3
2022-03-14,AEROLANDIA,0,0.0,0.0,1.0,0.25,0.0,11,3
2022-03-21,AEROLANDIA,0,0.0,0.0,0.0,0.25,0.0,12,3
2022-03-28,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,13,3
2022-04-04,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,14,4
2022-04-11,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,15,4
2022-04-18,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,16,4
2022-04-25,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,17,4
2022-05-02,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,18,5
2022-05-09,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,19,5
2022-05-16,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,20,5
2022-05-23,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,21,5
2022-05-30,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,22,5
2022-06-06,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,23,6
2022-06-13,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,24,6
2022-06-20,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,25,6
2022-06-27,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,26,6
2022-07-04,AEROLANDIA,1,0.0,0.0,0.0,0.0,0.0,27,7
2022-07-11,AEROLANDIA,2,1.0,0.0,0.0,0.25,1.0,28,7
2022-07-18,AEROLANDIA,0,2.0,1.0,0.0,0.75,1.0,29,7
2022-07-25,AEROLANDIA,0,0.0,2.0,1.0,0.75,-2.0,30,7
2022-08-01,AEROLANDIA,0,0.0,0.0,2.0,0.75,0.0,31,8
