semana,hex_id,crimes,lag_1,lag_2,lag_3,media_movel_4,tendencia_1,semana_ano,mes
2022-01-17,0,0,0.0,0.0,0.0,0.0,0.0,3,1
2022-01-24,0,0,0.0,0.0,0.0,0.0,0.0,4,1
2022-01-31,0,0,0.0,0.0,0.0,0.0,0.0,5,1
2022-02-07,0,0,0.0,0.0,0.0,0.0,0.0,6,2
2022-02-14,0,0,0.0,0.0,0.0,0.0,0.0,7,2
2022-02-21,0,0,0.0,0.0,0.0,0.0,0.0,8,2
2022-02-28,0,0,0.0,0.0,0.0,0.0,0.0,9,2
2022-03-07,0,0,0.0,0.0,0.0,0.0,0.0,10,3
2022-03-14,0,0,0.0,0.0,0.0,0.0,0.0,11,3
2022-03-21,0,0,0.0,0.0,0.0,0.0,0.0,12,3
2022-03-28,0,0,0.0,0.0,0.0,0.0,0.0,13,3
2022-04-04,0,0,0.0,0.0,0.0,0.0,0.0,14,4
2022-04-11,0,0,0.0,0.0,0.0,0.0,0.0,15,4
2022-04-18,0,0,0.0,0.0,0.0,0.0,0.0,16,4
2022-04-25,0,0,0.0,0.0,0.0,0.0,0.0,17,4
2022-05-02,0,0,0.0,0.0,0.0,0.0,0.0,18,5
2022-05-09,0,0,0.0,0.0,0.0,0.0,0.0,19,5
2022-05-16,0,0,0.0,0.0,0.0,0.0,0.0,20,5
2022-05-23,0,0,0.0,0.0,0.0,0.0,0.0,21,5
2022-05-30,0,0,0.0,0.0,0.0,0.0,0.0,22,5
2022-06-06,0,0,0.0,0.0,0.0,0.0,0.0,23,6
2022-06-13,0,0,0.0,0.0,0.0,0.0,0.0,24,6
2022-06-20,0,0,0.0,0.0,0.0,0.0,0.0,25,6
2022-06-27,0,0,0.0,0.0,0.0,0.0,0.0,26,6
2022-07-04,0,0,0.0,0.0,0.0,0.0,0.0,27,7
2022-07-11,0,0,0.0,0.0,0.0,0.0,0.0,28,7
2022-07-18,0,0,0.0,0.0,0.0,0.0,0.0,29,7
2022-07-25,0,0,0.0,0.0,0.0,0.0,0.0,30,7
2022-08-01,0,0,0.0,0.0,0.0,0.0,0.0,31,8
2022-08-08,0,0,0.0,0.0,0.0,0.0,0.0,32,8
2022-08-15,0,0,0.0,0.0,0.0,0.0,0.0,33,8
2022-08-22,0,0,0.0,0.0,0.0,0.0,0.0,34,8
2022-08-29,0,0,0.0,0.0,0.0,0.0,0.0,35,8
2022-09-05,0,0,0.0,0.0,0.0,0.0,0.0,36,9
2022-09-12,0,0,0.0,0.0,0.0,0.0,0.0,37,9
2022-09-19,0,0,0.0,0.0,0.0,0.0,0.0,38,9
2022-09-26,0,0,0.0,0.0,0.0,0.0,0.0,39,9
2022-10-03,0,0,0.0,0.0,0.0,0.0,0.0,40,10
2022-10-10,0,0,0.0,0.0,0.0,0.0,0.0,41,10
2022-10-17,0,0,0.0,0.0,0.0,0.0,0.0,42,10
2022-10-24,0,0,0.0,0.0,0.0,0.0,0.0,43,10
2022-10-31,0,0,0.0,0.0,0.0,0.0,0.0,44,10
2022-11-07,0,0,0.0,0.0,0.0,0.0,0.0,45,11
2022-11-14,0,0,0.0,0.0,0.0,0.0,0.0,46,11
2022-11-21,0,0,0.0,0.0,0.0,0.0,0.0,47,11
2022-11-28,0,0,0.0,0.0,0.0,0.0,0.0,48,11
2022-12-05,0,0,0.0,0.0,0.0,0.0,0.0,49,12
2022-12-12,0,0,0.0,0.0,0.0,0.0,0.0,50,12
2022-12-19,0,0,0.0,0.0,0.0,0.0,0.0,51,12
2022-12-26,0,0,0.0,0.0,0.0,0.0,0.0,52,12
2023-01-02,0,0,0.0,0.0,0.0,0.0,0.0,1,1
2023-01-09,0,0,0.0,0.0,0.0,0.0,0.0,2,1
2023-01-16,0,0,0.0,0.0,0.0,0.0,0.0,3,1
2023-01-23,0,0,0.0,0.0,0.0,0.0,0.0,4,1
2023-01-30,0,0,0.0,0.0,0.0,0.0,0.0,5,1
2023-02-06,0,0,0.0,0.0,0.0,0.0,0.0,6,2
2023-02-13,0,0,0.0,0.0,0.0,0.0,0.0,7,2
2023-02-20,0,0,0.0,0.0,0.0,0.0,0.0,8,2
2023-02-27,0,0,0.0,0.0,0.0,0.0,0.0,9,2
2023-03-06,0,0,0.0,0.0,0.0,0.0,0.0,10,3
2023-03-13,0,0,0.0,0.0,0.0,0.0,0.0,11,3
2023-03-20,0,0,0.0,0.0,0.0,0.0,0.0,12,3
2023-03-27,0,0,0.0,0.0,0.0,0.0,0.0,13,3
2023-04-03,0,0,0.0,0.0,0.0,0.0,0.0,14,4
2023-04-10,0,0,0.0,0.0,0.0,0.0,0.0,15,4
2023-04-17,0,0,0.0,0.0,0.0,0.0,0.0,16,4
2023-04-24,0,0,0.0,0.0,0.0,0.0,0.0,17,4
2023-05-01,0,0,0.0,0.0,0.0,0.0,0.0,18,5
2023-05-08,0,0,0.0,0.0,0.0,0.0,0.0,19,5
2023-05-15,0,0,0.0,0.0,0.0,0.0,0.0,20,5
2023-05-22,0,0,0.0,0.0,0.0,0.0,0.0,21,5
2023-05-29,0,0,0.0,0.0,0.0,0.0,0.0,22,5
2023-06-05,0,0,0.0,0.0,0.0,0.0,0.0,23,6
2023-06-12,0,0,0.0,0.0,0.0,0.0,0.0,24,6
2023-06-19,0,0,0.0,0.0,0.0,0.0,0.0,25,6
2023-06-26,0,0,0.0,0.0,0.0,0.0,0.0,26,6
2023-07-03,0,0,0.0,0.0,0.0,0.0,0.0,27,7
2023-07-10,0,0,0.0,0.0,0.0,0.0,0.0,28,7
2023-07-17,0,0,0.0,0.0,0.0,0.0,0.0,29,7
2023-07-24,0,0,0.0,0.0,0.0,0.0,0.0,30,7
2023-07-31,0,0,0.0,0.0,0.0,0.0,0.0,31,7
2023-08-07,0,0,0.0,0.0,0.0,0.0,0.0,32,8
2023-08-14,0,0,0.0,0.0,0.0,0.0,0.0,33,8
2023-08-21,0,0,0.0,0.0,0.0,0.0,0.0,34,8
2023-08-28,0,0,0.0,0.0,0.0,0.0,0.0,35,8
2023-09-04,0,0,0.0,0.0,0.0,0.0,0.0,36,9
2023-09-11,0,0,0.0,0.0,0.0,0.0,0.0,37,9
2023-09-18,0,0,0.0,0.0,0.0,0.0,0.0,38,9
2023-09-25,0,0,0.0,0.0,0.0,0.0,0.0,39,9
2023-10-02,0,0,0.0,0.0,0.0,0.0,0.0,40,10
2023-10-09,0,0,0.0,0.0,0.0,0.0,0.0,41,10
2023-10-16,0,0,0.0,0.0,0.0,0.0,0.0,42,10
2023-10-23,0,0,0.0,0.0,0.0,0.0,0.0,43,10
2023-10-30,0,0,0.0,0.0,0.0,0.0,0.0,44,10
