bairro,model,train_rows,test_rows,mse,mae,status
AEROLANDIA,poisson,210,21,0.08592388862888466,0.17725327039886377,evaluated
AEROPORTO,poisson,210,21,0.004579624635053524,0.06767291158857956,evaluated
ALDEOTA,poisson,210,21,0.04545807069306035,0.10006412136861777,evaluated
ALTO DA BALANCA,poisson,210,21,0.0028167556779022775,0.05307302110204333,evaluated
ALVARO WEYNE,poisson,210,21,0.05043932822314228,0.15556092812052288,evaluated
ANCURI,poisson,210,21,0.05469146462903659,0.17825820629897707,evaluated
ANTONIO BEZERRA,poisson,210,21,0.06143105589436237,0.20572844022762132,evaluated
AUTRAN NUNES,poisson,210,21,0.0033583343156494117,0.05795113285912859,evaluated
BARRA DO CEARA,poisson,210,21,0.35901781967358976,0.5925675513794916,evaluated
BARROSO,poisson,210,21,0.20683221568629348,0.42273662656447447,evaluated
BOA VISTA,poisson,210,21,0.04820635550748617,0.13915078309723566,evaluated
BOM JARDIM,poisson,210,21,0.08038003514384012,0.26007484593669394,evaluated
BONSUCESSO,poisson,210,21,0.12685715948385085,0.2947017502743561,evaluated
CAIS DO PORTO,poisson,210,21,0.011212250139520227,0.105886706727044,evaluated
CAJAZEIRAS,poisson,210,21,0.28543246316440285,0.32784123645953994,evaluated
CAMBEBA,poisson,210,21,0.08937616659287562,0.12647494565501433,evaluated
CANINDEZINHO,poisson,210,21,0.07145189044460278,0.23656649874153252,evaluated
CARLITO PAMPLONA,poisson,210,21,0.07583754799724009,0.24845765377424167,evaluated
CASTELAO,poisson,210,21,0.002330426256962257,0.048274451012744274,evaluated
CENTRO,poisson,210,21,0.122443372272072,0.25947173655339756,evaluated
CIDADE DOS FUNCIONARIOS,poisson,210,21,0.013371533101035607,0.11563384519127978,evaluated
CIRSTO REDENTOR,poisson,210,21,0.07511256343578795,0.274062237842021,evaluated
COACU,poisson,210,21,0.0033574853990003314,0.057943793148101594,evaluated
CONJUNTO CEARA I,poisson,210,21,0.002820312721998941,0.05310592123498397,evaluated
CONJUNTO CEARA II,poisson,210,21,0.003363696990885013,0.05799732731961866,evaluated
CONJUNTO ESPERANCA,poisson,210,21,0.004610970165706816,0.06790043712432349,evaluated
CONJUNTO PALMEIRAS,poisson,210,21,0.04893685569489913,0.22120994583294246,evaluated
CURIO,poisson,210,21,0.162021163975167,0.2565262251810553,evaluated
DEMOCRITO ROCHA,poisson,210,21,0.04554162362861468,0.07823028014923704,evaluated
DIAS MACEDO,poisson,210,21,0.0018961781769635602,0.04354512380493869,evaluated
DOM LUSTOSA,poisson,210,21,0.045462154327604365,0.10009578465633802,evaluated
EDSON QUEIROZ,poisson,210,21,0.03525175336635155,0.1877523492382613,evaluated
ENGENHEIRO LUCIANO CAVALCANTE,poisson,210,21,0.045351986743640556,0.09138181809617146,evaluated
FARIAS BRITO,poisson,210,21,0.04535050543876138,0.09139226186771328,evaluated
FATIMA,poisson,210,21,0.0033583343156494117,0.05795113285912859,evaluated
FLORESTA,poisson,210,21,0.0500176205475256,0.152630762125843,evaluated
GENIBAU,poisson,210,21,0.011304051869774746,0.10632022628940725,evaluated
GRANJA LISBOA,poisson,210,21,0.22566572503410157,0.4741497151394876,evaluated
GRANJA PORTUGAL,poisson,210,21,0.11415467707665392,0.3054138296418027,evaluated
GUAJERU,poisson,210,21,0.04623647288078703,0.11757569753853786,evaluated
HENRIQUE JORGE,poisson,210,21,0.007560574275481947,0.08695141102451964,evaluated
ITAOCA,poisson,210,21,0.001493715845899171,0.038648618478094324,evaluated
ITAPERI,poisson,210,21,0.04535330294494697,0.09126546156272919,evaluated
JACARECANGA,poisson,210,21,0.05418768450363162,0.17598239549826902,evaluated
JANGURURSSU,poisson,210,21,0.46553309506977375,0.6633691769349473,evaluated
JARDIM DAS OLIVEIRAS,poisson,210,21,0.057237624427251235,0.23922176939193612,evaluated
JARDIM GUANABARA,poisson,210,21,0.0014987023933794182,0.03871306824724101,evaluated
JARDIM IRACEMA,poisson,210,21,0.009272462711818096,0.09629297844475544,evaluated
JOAO XXIII,poisson,210,21,0.04543204345917256,0.08258319840269543,evaluated
JOAQUIM TAVORA,poisson,210,21,0.002329960828020322,0.04826966060872134,evaluated
JOQUEI CLUBE,poisson,210,21,0.0033673400356900116,0.05802877156643499,evaluated
JOSE BONIFACIO,poisson,210,21,0.0018887643587647482,0.043459914815028346,evaluated
JOSE DE ALENCAR,poisson,210,21,0.5033247610236958,0.48548349672237073,evaluated
LAGOA REDONDA,poisson,210,21,0.5040960318524819,0.45509424700701584,evaluated
MANOEL SATIRO,poisson,210,21,0.043111387388182064,0.20761765549198336,evaluated
MANUEL DIAS BRANCO,poisson,210,21,0.004568531301359698,0.06758818921282778,evaluated
MARAPONGA,poisson,210,21,0.004567665765893374,0.06758448705375969,evaluated
MESSEJANA,poisson,210,21,0.6325410584459498,0.6459451555729592,evaluated
MONDUBIM,poisson,210,21,0.20320740798910616,0.4467834943364778,evaluated
MONTESE,poisson,210,21,0.0014939769930147231,0.03865199780214067,evaluated
MOURA BRASIL,poisson,210,21,0.0018963897262025606,0.04354753930480472,evaluated
PADRE ANDRADE,poisson,210,21,0.011289206493196422,0.10625065125264505,evaluated
PAPICU,poisson,210,21,0.05098846485786377,0.1589813218677754,evaluated
PARANGABA,poisson,210,21,0.005238923666941554,0.0723803807796523,evaluated
PARQUE DOIS IRMAOS,poisson,210,21,0.12243059951948114,0.24269791702124235,evaluated
PARQUE IRACEMA,poisson,210,21,0.0028306835830114127,0.053204152177965494,evaluated
PARQUE PRESIDENTE VARGAS,poisson,210,21,0.003353564316426011,0.057909951258778486,evaluated
PARQUE SAO JOSE,poisson,210,21,0.011272618861543146,0.10617234450544755,evaluated
PASSARE,poisson,210,21,0.14539556090962666,0.35323700921980106,evaluated
PAUPINA,poisson,210,21,0.03756961868101947,0.19374137483401419,evaluated
PEDRAS,poisson,210,21,0.05071274177742263,0.15691951150417846,evaluated
PICI,poisson,210,21,0.06506135370835728,0.25502631727186503,evaluated
PIRAMBU,poisson,210,21,0.022503216753586693,0.1500082378946144,evaluated
PLANALTO AYRTON SENNA,poisson,210,21,0.18835393198391906,0.43313621401811675,evaluated
PRAIA DO FURUTO II,poisson,210,21,0.09620429744536174,0.2501627683472821,evaluated
PREFEITO JOSE WALTER,poisson,210,21,0.1926063698404715,0.43546651898105954,evaluated
PRESIDENTE KENNEDY,poisson,210,21,0.009332995213206985,0.09660727133344567,evaluated
QUINTINO CUNHA,poisson,210,21,0.26415145611425017,0.4004900920157273,evaluated
SAO BENTO,poisson,210,21,0.045999409759893584,0.11756349591254496,evaluated
SAO JOAO DO TAUAPE,poisson,210,21,0.0059648090227467825,0.07723205982052232,evaluated
SAPIRANGA COITE,poisson,210,21,0.02536670248283229,0.1592683795332412,evaluated
SERRINHA,poisson,210,21,0.011310198527741936,0.10634893781924408,evaluated
SIQUEIRA,poisson,210,21,0.14772827301859756,0.3801507202750182,evaluated
VICENTE PINZON,poisson,210,21,0.08399810858459378,0.2660506020054906,evaluated
VILA PERY,poisson,210,21,0.021093658400251195,0.14523182392736866,evaluated
VILA VELHA,poisson,210,21,0.06958700707228067,0.2309977555419222,evaluated
