bairro,model,ultima_semana_observada,ultima_contagem,previsao_proxima_semana
AEROLANDIA,poisson,2026-05-25,0.0,0.09961731010947526
AEROPORTO,poisson,2026-05-25,0.0,0.06140350877192982
ALDEOTA,poisson,2026-05-25,0.0,0.057017543859649134
ALTO DA BALANCA,poisson,2026-05-25,0.0,0.047986377194046984
ALVARO WEYNE,poisson,2026-05-25,1.0,0.11754181287530015
ANCURI,poisson,2026-05-25,0.0,0.13138661005236288
ANTONIO BEZERRA,poisson,2026-05-25,0.0,0.15355726529059982
AUTRAN NUNES,poisson,2026-05-25,0.0,0.05263157894736841
BARRA DO CEARA,poisson,2026-05-25,0.0,0.552151463075132
BARROSO,poisson,2026-05-25,0.0,0.3387202952739907
BOA VISTA,poisson,2026-05-25,0.0,0.0947366014972366
BOM JARDIM,poisson,2026-05-25,0.0,0.21247424149873564
BONSUCESSO,poisson,2026-05-25,0.0,0.25994141402357823
CAIS DO PORTO,poisson,2026-05-25,0.0,0.09436082471720404
CAJAZEIRAS,poisson,2026-05-25,0.0,0.15776316116019287
CAMBEBA,poisson,2026-05-25,0.0,0.04390607188307901
CANINDEZINHO,poisson,2026-05-25,0.0,0.18788996590448018
CARLITO PAMPLONA,poisson,2026-05-25,0.0,0.20016946823454856
CASTELAO,poisson,2026-05-25,0.0,0.04379431040733809
CENTRO,poisson,2026-05-25,0.0,0.16403816465471246
CIDADE DOS FUNCIONARIOS,poisson,2026-05-25,0.0,0.1033005580148587
CIRSTO REDENTOR,poisson,2026-05-25,0.0,0.24185696712608512
COACU,poisson,2026-05-25,0.0,0.05263157894736841
CONJUNTO CEARA I,poisson,2026-05-25,0.0,0.04824561403508771
CONJUNTO CEARA II,poisson,2026-05-25,0.0,0.05285327679769426
CONJUNTO ESPERANCA,poisson,2026-05-25,0.0,0.0612677745379798
CONJUNTO PALMEIRAS,poisson,2026-05-25,0.0,0.19343440759839123
CURIO,poisson,2026-05-25,0.0,0.11543236417860969
DEMOCRITO ROCHA,poisson,2026-05-25,0.0,0.03508771929824561
DIAS MACEDO,poisson,2026-05-25,0.0,0.039473684210526314
DOM LUSTOSA,poisson,2026-05-25,0.0,0.057321393729176204
EDSON QUEIROZ,poisson,2026-05-25,0.0,0.16787190763129956
