
data_parsed,count
2021-12-27,72
2022-01-03,341
2022-01-10,410
2022-01-17,423
2022-01-24,383
2022-01-31,451
2022-02-07,444
2022-02-14,399
2022-02-21,341
2022-02-28,387
2022-03-07,415
2022-03-14,376
2022-03-21,384
2022-03-28,421
2022-04-04,395
2022-04-11,421
2022-04-18,420
2022-04-25,507
2022-05-02,438
2022-05-09,487
2022-05-16,436
2022-05-23,400
2022-05-30,421
2022-06-06,395
2022-06-13,361
2022-06-20,420
2022-06-27,397
2022-07-04,409
2022-07-11,437
2022-07-18,427
2022-07-25,364
2022-08-01,401
2022-08-08,395
2022-08-15,393
2022-08-22,435
2022-08-29,401
2022-09-05,492
2022-09-12,460
2022-09-19,440
2022-09-26,364
2022-10-03,434
2022-10-10,399
2022-10-17,382
2022-10-24,441
2022-10-31,465
2022-11-07,489
2022-11-14,459
2022-11-21,462
2022-11-28,433
2022-12-05,420
2022-12-12,415
2022-12-19,417
2022-12-26,471
2023-01-02,333
2023-01-09,410
2023-01-16,433
2023-01-23,342
2023-01-30,377
2023-02-06,369
2023-02-13,357
2023-02-20,374
2023-02-27,353
2023-03-06,388
2023-03-13,339
2023-03-20,363
2023-03-27,263
2023-04-03,284
2023-04-10,338
2023-04-17,298
2023-04-24,316
2023-05-01,263
2023-05-08,330
2023-05-15,317
2023-05-22,320
2023-05-29,303
2023-06-05,329
2023-06-12,335
2023-06-19,333
2023-06-26,299
2023-07-03,278
2023-07-10,289
2023-07-17,306
2023-07-24,363
2023-07-31,335
2023-08-07,381
2023-08-14,286
2023-08-21,218
2023-08-28,205
2023-09-04,205
2023-09-11,231
2023-09-18,238
2023-09-25,277
2023-10-02,319
2023-10-09,331
2023-10-16,345
2023-10-23,316
2023-10-30,287
2023-11-06,300
2023-11-13,360
2023-11-20,289
2023-11-27,257
2023-12-04,251
2023-12-11,249
2023-12-18,248
2023-12-25,271
2024-01-01,215
2024-01-08,299
2024-01-15,349
2024-01-22,284
2024-01-29,270
2024-02-05,285
2024-02-12,257
2024-02-19,307
2024-02-26,305
2024-03-04,348
2024-03-11,311
2024-03-18,269
2024-03-25,270
2024-04-01,261
2024-04-08,280
2024-04-15,270
2024-04-22,263
2024-04-29,247
2024-05-06,299
2024-05-13,246
2024-05-20,271
2024-05-27,244
2024-06-03,286
2024-06-10,279
2024-06-17,234
2024-06-24,250
2024-07-01,251
2024-07-08,244
2024-07-15,165
2024-07-22,23
2024-07-29,86
2024-08-05,166
2024-08-12,151
2024-08-19,167
2024-08-26,193
2024-09-02,183
2024-09-09,200
2024-09-16,164
2024-09-23,127
2024-09-30,37
2024-10-07,31
2024-10-14,153
2024-10-21,146
2024-10-28,137
2024-11-04,163
2024-11-11,27
2024-11-18,17
2024-11-25,25
2024-12-02,117
2024-12-09,163
2024-12-16,128
2024-12-23,142
2024-12-30,99
2025-01-06,129
2025-01-13,131
2025-01-20,123
2025-01-27,151
2025-02-03,82
2025-02-10,141
2025-02-17,106
2025-02-24,136
2025-03-03,118
2025-03-10,140
2025-03-17,141
2025-03-24,134
2025-03-31,132
2025-04-07,140
2025-04-14,139
2025-04-21,146
2025-04-28,129
2025-05-05,141
2025-05-12,166
2025-05-19,156
2025-05-26,94
2025-06-02,150
2025-06-09,151
2025-06-16,145
2025-06-23,160
2025-06-30,132
2025-07-07,120
2025-07-14,139
2025-07-21,127
2025-07-28,96
2025-08-04,141
2025-08-11,138
2025-08-18,140
2025-08-25,110
2025-09-01,114
2025-09-08,123
2025-09-15,100
2025-09-22,112
2025-09-29,78
2025-10-06,95
2025-10-13,118
2025-10-20,114
2025-10-27,138
2025-11-03,126
2025-11-10,110
2025-11-17,93
2025-11-24,100
2025-12-01,84
2025-12-08,104
2025-12-15,103
2025-12-22,95
2025-12-29,47
2026-01-05,72
2026-01-12,70
2026-01-19,73
2026-01-26,112
2026-02-02,331
2026-02-09,285
2026-02-16,186
2026-02-23,183
2026-03-02,374
2026-03-09,291
2026-03-16,219
2026-03-23,130
2026-03-30,235
2026-04-06,297
2026-04-13,178
2026-04-20,162
2026-04-27,81
2026-05-04,43
